DATE,COM,COM_MM,COM_YY,OPEN,HIGH,LOW,CLOSE,SETTLE,VOLUME,OINT,SERIES
20220624,1MF  ,06,2022,0,0,0,0,627.38,0,15,1MFM22
20220624,1MF  ,07,2022,0,0,0,0,604.25,0,15,1MFN22
20220624,1MF  ,08,2022,0,0,0,0,604.63,0,15,1MFQ22
20220624,1MF  ,09,2022,0,0,0,0,602.26,0,15,1MFU22
20220624,1MF  ,10,2022,0,0,0,0,599.42,0,0,1MFV22
20220624,1MF  ,11,2022,0,0,0,0,596.35,0,0,1MFX22
20220624,1MF  ,12,2022,0,0,0,0,592.83,0,0,1MFZ22
20220624,1MF  ,01,2023,0,0,0,0,589.35,0,0,1MFF23
20220624,1MF  ,02,2023,0,0,0,0,586.32,0,0,1MFG23
20220624,1MF  ,03,2023,0,0,0,0,582.28,0,0,1MFH23
20220624,1MF  ,04,2023,0,0,0,0,575.2,0,0,1MFJ23
20220624,1MF  ,05,2023,0,0,0,0,568.98,0,0,1MFK23
20220624,1MF  ,06,2023,0,0,0,0,564.03,0,0,1MFM23
20220624,1MF  ,07,2023,0,0,0,0,557.53,0,0,1MFN23
20220624,1MF  ,08,2023,0,0,0,0,550.5,0,0,1MFQ23
20220624,1MF  ,09,2023,0,0,0,0,546.13,0,0,1MFU23
20220624,1MF  ,10,2023,0,0,0,0,541.45,0,0,1MFV23
20220624,1MF  ,11,2023,0,0,0,0,536.82,0,0,1MFX23
20220624,1MF  ,12,2023,0,0,0,0,532.12,0,0,1MFZ23
20220624,1MF  ,01,2024,0,0,0,0,525.55,0,0,1MFF24
20220624,1MF  ,02,2024,0,0,0,0,521.6,0,0,1MFG24
20220624,1MF  ,03,2024,0,0,0,0,517.2,0,0,1MFH24
20220624,1MF  ,04,2024,0,0,0,0,513.45,0,0,1MFJ24
20220624,1MF  ,05,2024,0,0,0,0,509.77,0,0,1MFK24
20220624,1MF  ,06,2024,0,0,0,0,506.1,0,0,1MFM24
20220624,2AF  ,06,2022,0,0,0,0,35000,0,0,2AFM22
20220624,2AF  ,07,2022,0,0,0,0,35917,0,0,2AFN22
20220624,2AF  ,08,2022,0,0,0,0,35583,0,0,2AFQ22
20220624,2AF  ,09,2022,0,0,0,0,34208,0,0,2AFU22
20220624,2AF  ,10,2022,0,0,0,0,33458,0,0,2AFV22
20220624,2AF  ,11,2022,0,0,0,0,32958,0,0,2AFX22
20220624,2AF  ,12,2022,0,0,0,0,25459,0,0,2AFZ22
20220624,2AF  ,01,2023,0,0,0,0,24958,0,0,2AFF23
20220624,2AF  ,02,2023,0,0,0,0,24958,0,0,2AFG23
20220624,2AF  ,03,2023,0,0,0,0,24958,0,0,2AFH23
20220624,2AF  ,04,2023,0,0,0,0,24642,0,0,2AFJ23
20220624,2AF  ,05,2023,0,0,0,0,24642,0,0,2AFK23
20220624,2AF  ,06,2023,0,0,0,0,24642,0,0,2AFM23
20220624,2AF  ,07,2023,0,0,0,0,27900,0,0,2AFN23
20220624,2AF  ,08,2023,0,0,0,0,27900,0,0,2AFQ23
20220624,2AF  ,09,2023,0,0,0,0,27900,0,0,2AFU23
20220624,2AF  ,10,2023,0,0,0,0,27900,0,0,2AFV23
20220624,2AF  ,11,2023,0,0,0,0,27900,0,0,2AFX23
20220624,2AF  ,12,2023,0,0,0,0,27900,0,0,2AFZ23
20220624,2AF  ,01,2024,0,0,0,0,24208,0,0,2AFF24
20220624,2AF  ,02,2024,0,0,0,0,24208,0,0,2AFG24
20220624,2AF  ,03,2024,0,0,0,0,24208,0,0,2AFH24
20220624,2AF  ,04,2024,0,0,0,0,24208,0,0,2AFJ24
20220624,2AF  ,05,2024,0,0,0,0,24208,0,0,2AFK24
20220624,2AF  ,06,2024,0,0,0,0,24208,0,0,2AFM24
20220624,2AF  ,07,2024,0,0,0,0,24208,0,0,2AFN24
20220624,2AF  ,08,2024,0,0,0,0,24208,0,0,2AFQ24
20220624,2AF  ,09,2024,0,0,0,0,24208,0,0,2AFU24
20220624,2AF  ,10,2024,0,0,0,0,24208,0,0,2AFV24
20220624,2AF  ,11,2024,0,0,0,0,24208,0,0,2AFX24
20220624,2AF  ,12,2024,0,0,0,0,24208,0,0,2AFZ24
20220624,2AF  ,01,2025,0,0,0,0,23642,0,0,2AFF25
20220624,2AF  ,02,2025,0,0,0,0,23642,0,0,2AFG25
20220624,2AF  ,03,2025,0,0,0,0,23642,0,0,2AFH25
20220624,2AF  ,04,2025,0,0,0,0,23642,0,0,2AFJ25
20220624,2AF  ,05,2025,0,0,0,0,23642,0,0,2AFK25
20220624,2AF  ,06,2025,0,0,0,0,23642,0,0,2AFM25
20220624,2AF  ,07,2025,0,0,0,0,23642,0,0,2AFN25
20220624,2AF  ,08,2025,0,0,0,0,23642,0,0,2AFQ25
20220624,2AF  ,09,2025,0,0,0,0,23642,0,0,2AFU25
20220624,2AF  ,10,2025,0,0,0,0,23642,0,0,2AFV25
20220624,2AF  ,11,2025,0,0,0,0,23642,0,0,2AFX25
20220624,2AF  ,12,2025,0,0,0,0,23642,0,0,2AFZ25
20220624,2AWF ,06,2022,0,0,0,0,36489,0,0,2AWFM22
20220624,2AWF ,07,2022,0,0,0,0,37406,0,0,2AWFN22
20220624,2AWF ,08,2022,0,0,0,0,37072,0,0,2AWFQ22
20220624,2AWF ,09,2022,0,0,0,0,35697,0,0,2AWFU22
20220624,2AWF ,10,2022,0,0,0,0,34947,0,0,2AWFV22
20220624,2AWF ,11,2022,0,0,0,0,34447,0,0,2AWFX22
20220624,2AWF ,12,2022,0,0,0,0,26948,0,0,2AWFZ22
20220624,2AWF ,01,2023,0,0,0,0,26447,0,0,2AWFF23
20220624,2AWF ,02,2023,0,0,0,0,26447,0,0,2AWFG23
20220624,2AWF ,03,2023,0,0,0,0,26447,0,0,2AWFH23
20220624,2AWF ,04,2023,0,0,0,0,26131,0,0,2AWFJ23
20220624,2AWF ,05,2023,0,0,0,0,26131,0,0,2AWFK23
20220624,2AWF ,06,2023,0,0,0,0,26131,0,0,2AWFM23
20220624,2AWF ,07,2023,0,0,0,0,29389,0,0,2AWFN23
20220624,2AWF ,08,2023,0,0,0,0,29389,0,0,2AWFQ23
20220624,2AWF ,09,2023,0,0,0,0,29389,0,0,2AWFU23
20220624,2AWF ,10,2023,0,0,0,0,29389,0,0,2AWFV23
20220624,2AWF ,11,2023,0,0,0,0,29389,0,0,2AWFX23
20220624,2AWF ,12,2023,0,0,0,0,29389,0,0,2AWFZ23
20220624,2AWF ,01,2024,0,0,0,0,25697,0,0,2AWFF24
20220624,2AWF ,02,2024,0,0,0,0,25697,0,0,2AWFG24
20220624,2AWF ,03,2024,0,0,0,0,25697,0,0,2AWFH24
20220624,2AWF ,04,2024,0,0,0,0,25697,0,0,2AWFJ24
20220624,2AWF ,05,2024,0,0,0,0,25697,0,0,2AWFK24
20220624,2AWF ,06,2024,0,0,0,0,25697,0,0,2AWFM24
20220624,2AWF ,07,2024,0,0,0,0,25697,0,0,2AWFN24
20220624,2AWF ,08,2024,0,0,0,0,25697,0,0,2AWFQ24
20220624,2AWF ,09,2024,0,0,0,0,25697,0,0,2AWFU24
20220624,2AWF ,10,2024,0,0,0,0,25697,0,0,2AWFV24
20220624,2AWF ,11,2024,0,0,0,0,25697,0,0,2AWFX24
20220624,2AWF ,12,2024,0,0,0,0,25697,0,0,2AWFZ24
20220624,2AWF ,01,2025,0,0,0,0,25131,0,0,2AWFF25
20220624,2AWF ,02,2025,0,0,0,0,25131,0,0,2AWFG25
20220624,2AWF ,03,2025,0,0,0,0,25131,0,0,2AWFH25
20220624,2AWF ,04,2025,0,0,0,0,25131,0,0,2AWFJ25
20220624,2AWF ,05,2025,0,0,0,0,25131,0,0,2AWFK25
20220624,2AWF ,06,2025,0,0,0,0,25131,0,0,2AWFM25
20220624,2AWF ,07,2025,0,0,0,0,25131,0,0,2AWFN25
20220624,2AWF ,08,2025,0,0,0,0,25131,0,0,2AWFQ25
20220624,2AWF ,09,2025,0,0,0,0,25131,0,0,2AWFU25
20220624,2AWF ,10,2025,0,0,0,0,25131,0,0,2AWFV25
20220624,2AWF ,11,2025,0,0,0,0,25131,0,0,2AWFX25
20220624,2AWF ,12,2025,0,0,0,0,25131,0,0,2AWFZ25
20220624,2EF  ,06,2022,0,0,0,0,35333,0,0,2EFM22
20220624,2EF  ,07,2022,0,0,0,0,34708,0,0,2EFN22
20220624,2EF  ,08,2022,0,0,0,0,34292,0,0,2EFQ22
20220624,2EF  ,09,2022,0,0,0,0,32792,0,0,2EFU22
20220624,2EF  ,10,2022,0,0,0,0,32292,0,0,2EFV22
20220624,2EF  ,11,2022,0,0,0,0,31542,0,0,2EFX22
20220624,2EF  ,12,2022,0,0,0,0,25917,0,0,2EFZ22
20220624,2EF  ,01,2023,0,0,0,0,24933,0,0,2EFF23
20220624,2EF  ,02,2023,0,0,0,0,24933,0,0,2EFG23
20220624,2EF  ,03,2023,0,0,0,0,24933,0,0,2EFH23
20220624,2EF  ,04,2023,0,0,0,0,24625,0,0,2EFJ23
20220624,2EF  ,05,2023,0,0,0,0,24625,0,0,2EFK23
20220624,2EF  ,06,2023,0,0,0,0,24625,0,0,2EFM23
20220624,2EF  ,07,2023,0,0,0,0,29737,0,0,2EFN23
20220624,2EF  ,08,2023,0,0,0,0,29737,0,0,2EFQ23
20220624,2EF  ,09,2023,0,0,0,0,29737,0,0,2EFU23
20220624,2EF  ,10,2023,0,0,0,0,29737,0,0,2EFV23
20220624,2EF  ,11,2023,0,0,0,0,29737,0,0,2EFX23
20220624,2EF  ,12,2023,0,0,0,0,29737,0,0,2EFZ23
20220624,2EF  ,01,2024,0,0,0,0,23967,0,0,2EFF24
20220624,2EF  ,02,2024,0,0,0,0,23967,0,0,2EFG24
20220624,2EF  ,03,2024,0,0,0,0,23967,0,0,2EFH24
20220624,2EF  ,04,2024,0,0,0,0,23967,0,0,2EFJ24
20220624,2EF  ,05,2024,0,0,0,0,23967,0,0,2EFK24
20220624,2EF  ,06,2024,0,0,0,0,23967,0,0,2EFM24
20220624,2EF  ,07,2024,0,0,0,0,23967,0,0,2EFN24
20220624,2EF  ,08,2024,0,0,0,0,23967,0,0,2EFQ24
20220624,2EF  ,09,2024,0,0,0,0,23967,0,0,2EFU24
20220624,2EF  ,10,2024,0,0,0,0,23967,0,0,2EFV24
20220624,2EF  ,11,2024,0,0,0,0,23967,0,0,2EFX24
20220624,2EF  ,12,2024,0,0,0,0,23967,0,0,2EFZ24
