DATE,COM,COM_MM,COM_YY,OPEN,HIGH,LOW,CLOSE,SETTLE,VOLUME,OINT,SERIES
20220622,ACF  ,05,2024,0,0,0,0,277.56,0,0,ACFK24
20220622,ACF  ,06,2024,0,0,0,0,277.56,0,0,ACFM24
20220622,ACF  ,07,2024,0,0,0,0,275.56,0,0,ACFN24
20220622,ACF  ,08,2024,0,0,0,0,275.56,0,0,ACFQ24
20220622,ACF  ,09,2024,0,0,0,0,275.56,0,0,ACFU24
20220622,ACF  ,10,2024,0,0,0,0,273.56,0,0,ACFV24
20220622,ACF  ,11,2024,0,0,0,0,273.56,0,0,ACFX24
20220622,ACF  ,12,2024,0,0,0,0,273.56,0,0,ACFZ24
20220622,ACF  ,01,2025,0,0,0,0,230,0,0,ACFF25
20220622,ACF  ,02,2025,0,0,0,0,230,0,0,ACFG25
20220622,ACF  ,03,2025,0,0,0,0,230,0,0,ACFH25
20220622,ACF  ,04,2025,0,0,0,0,230,0,0,ACFJ25
20220622,ACF  ,05,2025,0,0,0,0,230,0,0,ACFK25
20220622,ACF  ,06,2025,0,0,0,0,230,0,0,ACFM25
20220622,ACF  ,07,2025,0,0,0,0,230,0,0,ACFN25
20220622,ACF  ,08,2025,0,0,0,0,230,0,0,ACFQ25
20220622,ACF  ,09,2025,0,0,0,0,230,0,0,ACFU25
20220622,ACF  ,10,2025,0,0,0,0,230,0,0,ACFV25
20220622,ACF  ,11,2025,0,0,0,0,230,0,0,ACFX25
20220622,ACF  ,12,2025,0,0,0,0,230,0,0,ACFZ25
20220622,ACF  ,01,2026,0,0,0,0,230,0,0,ACFF26
20220622,ACF  ,02,2026,0,0,0,0,230,0,0,ACFG26
20220622,ACF  ,03,2026,0,0,0,0,230,0,0,ACFH26
20220622,ACF  ,04,2026,0,0,0,0,230,0,0,ACFJ26
20220622,ACF  ,05,2026,0,0,0,0,230,0,0,ACFK26
20220622,ACF  ,06,2026,0,0,0,0,230,0,0,ACFM26
